#,Region,District,Jul-2013,Aug-2013,Sep-2013,Oct-2013,Nov-2013,Dec-2013
,,,,,,,,
1,Awdal,Borama,0.172,0.226,0.265,0.254,0.248,0.251
2,Awdal,Baki,0.114,0.135,0.151,0.153,0.17,0.197
3,Awdal,Lughaye,0.082,0.083,0.088,0.091,0.106,0.153
4,Awdal,Zeylac,0.085,0.093,0.103,0.106,0.115,0.125
5,Woqooyi Galbeed,Hargeysa,0,0,0,0,0,0
6,Woqooyi Galbeed,Berbera,0.094,0.098,0.105,0.112,0.13,0.148
7,Woqooyi Galbeed,Gebiley,0.183,0.228,0.265,0.252,0.249,0.253
8,Togdheer,Burco,0.154,0.153,0.17,0.194,0.228,0.247
9,Togdheer,Buuhoodle,0.152,0.159,0.179,0.213,0.245,0.235
10,Togdheer,Owdweyne,0.157,0.154,0.172,0.19,0.214,0.222
11,Togdheer,Sheikh,0.159,0.165,0.197,0.235,0.276,0.285
12,Sool,Laas Caanood,0.129,0.13,0.14,0.167,0.177,0.155
13,Sool,Caynabo,0.142,0.139,0.15,0.168,0.199,0.216
14,Sool,Taleex,0.119,0.121,0.136,0.172,0.209,0.194
15,Sool,Xudun,0.12,0.123,0.134,0.152,0.177,0.166
16,Sanaag,Ceerigaabo,0.128,0.128,0.14,0.158,0.177,0.168
17,Sanaag,Ceel Afweyn,0.13,0.13,0.14,0.156,0.177,0.182
18,Sanaag,Laasqoray,0.137,0.139,0.148,0.167,0.191,0.191
19,Bari,Bossaso,0.133,0.137,0.143,0.151,0.166,0.171
20,Bari,Bandarbeyla,0.133,0.132,0.139,0.163,0.197,0.201
21,Bari,Caluula,0.144,0.15,0.159,0.176,0.215,0.228
22,Bari,Iskushuban,0.126,0.128,0.135,0.145,0.164,0.173
23,Bari,Qandala,0.146,0.151,0.162,0.171,0.196,0.211
24,Bari,Qardho,0.124,0.124,0.132,0.156,0.184,0.178
25,Nugaal,Garoowe,0.128,0.127,0.133,0.167,0.212,0.206
26,Nugaal,Burtinle,0.156,0.154,0.162,0.206,0.258,0.235
27,Nugaal,Eyl,0.147,0.144,0.15,0.187,0.227,0.225
28,Mudug,Gaalkacyo,0.165,0.164,0.166,0.197,0.246,0.23
29,Mudug,Galdogob,0.171,0.168,0.174,0.208,0.241,0.208
30,Mudug,Hobyo,0.167,0.161,0.157,0.193,0.251,0.231
31,Mudug,Jariiban,0.153,0.151,0.15,0.179,0.235,0.233
32,Mudug,Xarardheere,0.2,0.185,0.183,0.261,0.349,0.318
33,Galgaduud,Dhuusamarreeb,0.204,0.195,0.191,0.226,0.29,0.272
34,Galgaduud,Cabudwaaq,0.209,0.199,0.191,0.213,0.267,0.259
35,Galgaduud,Cadaado,0.197,0.187,0.181,0.211,0.258,0.236
36,Galgaduud,Ceel Buur,0.213,0.205,0.208,0.272,0.342,0.296
37,Galgaduud,Ceel Dheer,0.207,0.195,0.195,0.268,0.365,0.323
38,Hiraan,Belet Weyne,0.202,0.195,0.199,0.249,0.314,0.273
39,Hiraan,Bulo Burto,0.247,0.228,0.225,0.314,0.435,0.372
40,Hiraan,Jalalaqsi,0.256,0.236,0.229,0.309,0.453,0.411
41,Middle Shabelle,Jowhar,0.282,0.261,0.252,0.327,0.505,0.476
42,Middle Shabelle,Adan Yabaal,0.24,0.221,0.216,0.297,0.435,0.416
43,Middle Shabelle,Balcad,0.364,0.329,0.293,0.336,0.461,0.463
44,Middle Shabelle,Cadale,0.281,0.25,0.234,0.314,0.46,0.448
45,Banadir,Mogadishu,,,,,,
